Order_ID,Customer_ID,Restaurant_Name,City,Cuisine_Type,Dish_Name,Order_Date,Order_Time,Order_Status,Delivery_Duration_Minutes,Payment_Method,Order_Value,Discount_Applied,Customer_Rating,Delivery_Partner_ID,Delivery_Partner_Rating,Cancellation_Reason,Is_First_Order,Restaurant_Rating,Tip_Amount
ORD00011,CUST9358,Harmon-Hawkins,Hyderabad,Thai,Officer,18-04-2024,12:54:41,Delivered,88,Card,688.83,No,4.9,DP859,4.3,,Yes,4.4,84.3
ORD00012,CUST1259,Orozco Ltd,Chennai,South Indian,Pattern,30-08-2024,19:16:19,Delivered,88,UPI,636.09,No,1.7,DP736,,,No,5,62.41
ORD00013,CUST9254,Jones Group,Mumbai,North Indian,Final,22-12-2024,01:24:19,Delivered,39,Cash,492.77,No,,DP584,3.7,,Yes,4,85.14
ORD00014,CUST8508,"Ford, Sandoval and Harper",Pune,Italian,Soon,30-11-2024,02:33:08,Delivered,28,Card,458.36,No,,DP492,,,Yes,3.3,22.01
ORD00015,CUST4610,"Taylor, Walters and Rowe",Chennai,North Indian,Gas,24-04-2024,01:37:00,Delivered,64,Card,926.38,Yes,2.3,DP812,4.7,,Yes,4.1,37.54
ORD00016,CUST1086,Buchanan-Jones,Pune,Thai,Our,11-12-2024,22:03:15,Delivered,67,UPI,530.86,No,,DP677,,,Yes,4,83.06
ORD00017,CUST6336,Wilkerson LLC,Hyderabad,Continental,Soon,22-08-2024,21:55:29,Delivered,41,Cash,568.83,No,4.3,DP814,,,No,3.1,44.37
ORD00018,CUST1210,"Vazquez, White and Matthews",Hyderabad,Biryani,Past,19-10-2024,03:18:04,Delivered,35,UPI,761.85,Yes,,DP968,,,Yes,3.3,38.29
ORD00019,CUST1489,Scott Ltd,Bangalore,Mexican,Already,25-03-2025,10:18:21,Delivered,22,UPI,643.52,No,3,DP561,4.1,,No,3.1,0.62
ORD00020,CUST9769,Rivera-Walker,Kolkata,Thai,Shoulder,12-05-2024,02:49:33,Cancelled,,Card,852.27,No,,DP218,,Customer Cancelled,Yes,4.2,0
ORD00021,CUST8813,Williams PLC,Mumbai,Thai,Century,16-04-2024,00:25:26,Cancelled,,UPI,540.89,No,,DP965,,Delivery Partner No Show,Yes,3.3,0
ORD00022,CUST8604,Hernandez Inc,Chennai,Thai,New,10-07-2024,08:54:08,Incomplete,,UPI,335.93,No,,DP898,,Customer Cancelled,No,4.3,0
ORD00023,CUST4685,Freeman-Castro,Kolkata,Biryani,Travel,31-12-2024,22:18:53,Cancelled,,Wallet,559.62,Yes,,DP238,,Delivery Partner No Show,Yes,4.3,0
ORD00024,CUST7871,"Mendez, Ross and Morris",Mumbai,Continental,Similar,13-04-2025,09:20:28,Delivered,53,UPI,536,Yes,2.8,DP202,,,No,3.9,9.07
ORD00025,CUST2292,Young Ltd,Mumbai,South Indian,Recent,01-03-2025,02:31:44,Delivered,60,Cash,127.15,No,,DP750,,,No,3.3,44.12
ORD00026,CUST7724,Gonzales-Wood,Delhi,Chinese,Rich,14-06-2024,10:02:00,Cancelled,,Wallet,696.81,Yes,,DP661,,Delivery Partner No Show,No,3.7,0
ORD00027,CUST2412,Fitzgerald-Mcmillan,Chennai,Italian,Away,23-06-2024,13:35:43,Incomplete,,Cash,466.51,Yes,,DP259,,Customer Cancelled,Yes,3.4,0
ORD00028,CUST8094,"Perez, Peterson and Morales",Kolkata,North Indian,Top,22-03-2025,07:21:33,Cancelled,,Card,256.11,No,,DP998,,Delivery Partner No Show,No,3.1,0
ORD00029,CUST1715,Malone-Chen,Kolkata,Thai,We,21-09-2024,14:35:25,Delivered,55,Cash,642.34,No,,DP983,3.4,,No,3.4,84.85
ORD00030,CUST4672,Hicks PLC,Mumbai,Continental,National,08-01-2025,16:45:31,Cancelled,,UPI,261.47,Yes,,DP735,,Restaurant Unavailable,No,4.3,0
ORD00031,CUST6875,"Brown, Johnson and Cook",Bangalore,Thai,Behavior,10-01-2025,09:22:38,Cancelled,,Wallet,730.7,Yes,,DP748,,Customer Cancelled,No,3.7,0
ORD00032,CUST8120,"Orozco, Harris and Mccarthy",Delhi,South Indian,Where,01-08-2024,11:09:26,Delivered,24,UPI,137.08,Yes,1.2,DP523,2.7,,No,4,51.31
ORD00033,CUST1359,"Clark, Skinner and Rice",Delhi,Biryani,Fly,23-06-2024,15:37:35,Delivered,71,UPI,925.99,No,1.8,DP938,,,No,4.4,38.79
ORD00034,CUST4407,"Jackson, Johnson and Alexander",Kolkata,North Indian,Behavior,19-04-2024,01:15:21,Delivered,69,Cash,697.3,No,4.4,DP583,3.8,,Yes,4.8,79.92
ORD00035,CUST5165,Townsend-Santos,Pune,Italian,Wide,17-11-2024,19:29:58,Delivered,89,UPI,974.4,No,2.8,DP707,,,Yes,5,43.38
ORD00036,CUST7247,Gonzales LLC,Chennai,South Indian,Gas,14-04-2025,13:19:03,Cancelled,,Wallet,617.94,No,,DP306,,Other,No,4.3,0
ORD00037,CUST5551,Miller-Lopez,Pune,South Indian,Network,07-04-2025,02:00:32,Delivered,26,Wallet,303.66,No,,DP719,,,Yes,3.5,44.72
ORD00038,CUST1170,"Harvey, Morris and Schultz",Chennai,Mexican,Culture,25-01-2025,05:25:04,Delivered,22,UPI,628.08,Yes,,DP890,,,Yes,4.5,53.41
ORD00039,CUST5768,Macdonald-Melton,Bangalore,North Indian,Sport,25-05-2024,09:22:24,Delivered,66,Wallet,610.19,Yes,2.9,DP136,,,No,4.1,58.4
ORD00040,CUST7708,"Green, Parker and Espinoza",Kolkata,Mexican,Like,20-08-2024,05:35:44,Delivered,69,Card,355.15,Yes,,DP381,,,Yes,4.6,14.42
ORD00041,CUST4858,Morris Ltd,Kolkata,Chinese,Than,03-10-2024,14:34:58,Delivered,57,Cash,911.55,Yes,,DP996,,,No,3.9,85.52
ORD00042,CUST6662,Thomas Inc,Pune,Mexican,Seem,09-08-2024,00:19:09,Cancelled,,Cash,547.55,No,,DP554,,Customer Cancelled,No,4.7,0
ORD00043,CUST1784,Johnson-Black,Chennai,Chinese,Attack,10-01-2025,15:22:25,Cancelled,,Card,662.8,No,,DP401,,,No,3.3,0
ORD00044,CUST7002,"Mosley, Gregory and Thompson",Kolkata,North Indian,Serve,21-01-2025,05:07:17,Delivered,35,Card,947.07,No,,DP727,,,Yes,3.7,80.19
ORD00045,CUST3812,Anderson-Price,Kolkata,Continental,Clearly,09-06-2024,18:21:21,Delivered,23,Wallet,794.95,No,4.4,DP974,3.4,,No,4.5,2.65
ORD00046,CUST5696,Casey PLC,Mumbai,Italian,Trouble,09-11-2024,15:05:40,Delivered,72,Wallet,655.42,Yes,3.9,DP426,4.1,,Yes,4.9,28.5
ORD00047,CUST9654,Hatfield Ltd,Bangalore,Continental,Amount,15-04-2025,15:40:10,Delivered,26,Card,905.48,No,,DP272,3.2,,No,4.9,99.63
ORD00048,CUST4075,Sanders and Sons,Kolkata,Mexican,Attention,22-02-2025,02:17:23,Delivered,43,Wallet,685.91,Yes,2.8,DP981,,,Yes,3.7,86.97
ORD00049,CUST8786,Reed-Griffith,Chennai,Mexican,Enter,19-02-2025,06:46:43,Delivered,24,Wallet,161.59,No,,DP133,,,No,4.4,21.33
ORD00050,CUST5398,Hernandez PLC,Chennai,Italian,History,06-07-2024,12:19:22,Cancelled,,Wallet,275,No,,DP861,,,Yes,4.6,0
ORD00051,CUST3290,"Morse, Hamilton and Leblanc",Hyderabad,Thai,Market,27-11-2024,03:30:21,Delivered,35,Wallet,884.56,Yes,1,DP371,1.2,,Yes,3.2,81.25
ORD00052,CUST6727,Castro-Diaz,Chennai,Biryani,Think,11-04-2025,22:35:41,Delivered,77,UPI,137.21,Yes,4.1,DP640,1.1,,Yes,3.1,0.11
ORD00053,CUST4328,Wilson-Little,Pune,Thai,Field,09-05-2024,03:53:34,Delivered,66,UPI,369.64,No,2,DP826,4.3,,Yes,3,83.19
ORD00054,CUST3407,Garcia Inc,Bangalore,North Indian,Wide,01-10-2024,10:42:47,Delivered,52,UPI,478.71,No,,DP813,,,Yes,3.7,8.38
ORD00055,CUST1555,Santos-Fernandez,Delhi,North Indian,Point,25-09-2024,09:19:24,Delivered,37,Card,512.1,No,4.3,DP250,3.2,,Yes,4.3,48.16
ORD00056,CUST5211,Monroe PLC,Delhi,Continental,Few,05-11-2024,23:59:01,Delivered,74,Wallet,621.28,Yes,,DP259,,,Yes,3,20.88
ORD00057,CUST2783,Brewer-Gates,Delhi,North Indian,Tv,25-11-2024,23:00:01,Delivered,20,Wallet,434.79,Yes,,DP693,2.4,,Yes,3.9,63.8
ORD00058,CUST8949,Ward PLC,Bangalore,Chinese,Piece,17-06-2024,03:03:43,Delivered,61,Wallet,396.23,Yes,1.1,DP476,,,Yes,4.4,89.42
ORD00059,CUST9899,"Griffin, Gibbs and Davidson",Mumbai,North Indian,Low,07-01-2025,23:21:40,Incomplete,,Card,427.51,Yes,,DP363,,Restaurant Unavailable,Yes,4.6,0
ORD00060,CUST7439,Bishop-Woods,Pune,Mexican,His,03-01-2025,00:53:47,Delivered,78,Wallet,303.21,Yes,3.6,DP298,,,No,3.9,36.32
ORD00061,CUST4341,"Dennis, Dorsey and Jones",Hyderabad,Chinese,System,03-09-2024,08:01:37,Delivered,40,Wallet,321.7,Yes,,DP208,,,Yes,3.4,45.49
ORD00062,CUST9495,Jacobson Ltd,Pune,Continental,During,08-12-2024,22:29:14,Delivered,42,UPI,156.46,Yes,1.2,DP490,3.7,,No,4.7,37.88
ORD00063,CUST2275,Tyler-Ortiz,Pune,Thai,Party,25-10-2024,02:53:08,Delivered,47,Card,662.75,Yes,,DP892,4.8,,No,3,75.35
ORD00064,CUST5278,Gray PLC,Chennai,Thai,Worry,09-04-2025,22:30:03,Delivered,58,Card,352.95,Yes,,DP436,1.4,,No,4.6,79.95
ORD00065,CUST3864,Knox and Sons,Mumbai,Chinese,Charge,11-11-2024,19:41:26,Delivered,44,Cash,557.34,Yes,3.6,DP438,3.5,,No,4.8,63.39
ORD00066,CUST5304,Vaughn LLC,Kolkata,North Indian,Offer,19-10-2024,06:48:34,Cancelled,,Wallet,230.54,Yes,,DP647,,,Yes,4.7,0
ORD00067,CUST7386,Kennedy Group,Delhi,Thai,Little,21-01-2025,12:42:51,Delivered,41,Card,348.83,No,1.3,DP440,,,Yes,4,65.69
ORD00068,CUST4681,"Price, Hogan and Powell",Chennai,Mexican,Certainly,27-09-2024,16:09:58,Delivered,89,Cash,416.78,Yes,3,DP153,2.4,,Yes,3.2,3.65
ORD00069,CUST1464,"Huber, Velazquez and Thomas",Bangalore,Continental,Fly,01-01-2025,03:00:26,Delivered,86,Card,222.16,Yes,,DP105,2.8,,Yes,4.6,39.61
ORD00070,CUST3932,"Holt, Farmer and Melendez",Hyderabad,South Indian,Surface,12-07-2024,06:07:24,Delivered,61,Wallet,508.29,Yes,2.8,DP168,,,Yes,4.8,29.91
ORD00071,CUST8695,Ramos Ltd,Bangalore,Chinese,Series,23-09-2024,19:44:35,Delivered,50,Card,861.61,No,2.5,DP743,1.2,,No,3.9,80.61
ORD00072,CUST8771,Hester PLC,Hyderabad,South Indian,Standard,21-03-2025,01:06:38,Delivered,40,Wallet,434.61,No,3.5,DP397,,,No,3.3,72.87
ORD00073,CUST2802,Mendez Ltd,Kolkata,Mexican,Discussion,24-04-2024,06:31:07,Delivered,51,Wallet,680.6,Yes,4.5,DP110,,,No,3,93.42
ORD00074,CUST7474,"Joseph, Freeman and Peck",Pune,Mexican,Peace,10-02-2025,15:05:49,Delivered,55,Cash,172.02,Yes,,DP926,3,,Yes,4.8,67.62
ORD00075,CUST7313,Joyce PLC,Hyderabad,Continental,Deal,21-02-2025,06:09:09,Delivered,48,UPI,191.1,Yes,,DP825,,,Yes,4.3,73.52
ORD00076,CUST6144,"Jones, Cox and Marquez",Delhi,Thai,Concern,17-01-2025,03:11:03,Delivered,33,Wallet,286.68,Yes,1.1,DP253,2.2,,No,3.1,88.19
ORD00077,CUST4394,Jones Inc,Delhi,North Indian,Likely,01-06-2024,10:03:37,Delivered,29,UPI,590.23,Yes,4.3,DP891,4.6,,Yes,4.2,41.05
ORD00078,CUST9721,Jimenez and Sons,Bangalore,Mexican,Myself,02-11-2024,01:50:52,Delivered,37,Wallet,485,No,4.2,DP841,,,No,4.5,95.91
ORD00079,CUST6498,"Baldwin, Moore and King",Kolkata,Mexican,Strong,27-03-2025,14:23:25,Delivered,84,Wallet,175.93,Yes,3.2,DP854,,,No,5,88.32
ORD00080,CUST3031,Byrd Inc,Pune,Chinese,School,25-04-2024,09:54:19,Delivered,58,Cash,317.75,Yes,2.6,DP293,,,No,3.8,45.9
ORD00081,CUST1269,Berry-Nunez,Bangalore,Biryani,Production,09-05-2024,05:28:34,Delivered,59,Wallet,150.46,Yes,2.5,DP398,3.2,,Yes,3.6,22
ORD00082,CUST8067,Hill Ltd,Bangalore,Italian,Production,16-09-2024,20:51:04,Delivered,37,Cash,965.43,Yes,,DP167,,,No,3.5,35.18
ORD00083,CUST1450,Elliott-Torres,Mumbai,South Indian,Part,08-09-2024,15:47:30,Delivered,78,Cash,177.22,No,1,DP880,,,No,3.5,35.54
ORD00084,CUST8931,Chandler PLC,Chennai,Biryani,Any,28-12-2024,15:04:53,Cancelled,,Card,810.58,Yes,,DP919,,Other,No,4,0
ORD00085,CUST2508,Villanueva-Hayes,Pune,Continental,Nation,02-01-2025,11:31:33,Cancelled,,UPI,241.53,No,,DP498,,Other,Yes,4,0
ORD00086,CUST9102,Gomez Ltd,Mumbai,South Indian,Candidate,03-04-2025,08:11:06,Delivered,69,Card,665.99,No,,DP357,,,Yes,4.4,38.66
ORD00087,CUST9705,Smith-Gregory,Delhi,Italian,Series,15-07-2024,04:50:24,Delivered,66,Cash,684.89,No,1.9,DP555,3.8,,Yes,3.5,15.43
ORD00088,CUST1686,"Case, Gaines and Williams",Bangalore,Mexican,Stage,12-08-2024,21:52:21,Delivered,23,Cash,825.06,Yes,,DP756,1.6,,No,4,57.81
ORD00089,CUST3195,Thompson-Palmer,Hyderabad,North Indian,Everyone,30-03-2025,00:35:24,Delivered,68,UPI,439.74,No,3.5,DP391,,,Yes,4.7,30.28
ORD00090,CUST1252,Thomas LLC,Mumbai,North Indian,Commercial,28-02-2025,08:14:10,Delivered,73,Wallet,699.38,No,,DP959,,,No,4.1,34.21
ORD00091,CUST3678,Douglas-Thomas,Pune,Italian,Between,04-11-2024,20:46:48,Delivered,68,UPI,707.99,Yes,1.5,DP457,2.5,,No,3.4,98
ORD00092,CUST4849,Johnson Ltd,Pune,Thai,Maintain,29-07-2024,04:51:31,Delivered,67,UPI,240.5,No,,DP356,1.8,,Yes,3.9,76.67
ORD00093,CUST3985,"Walsh, Weber and Mitchell",Mumbai,Chinese,Dream,14-12-2024,14:58:00,Delivered,84,Wallet,869.35,Yes,,DP757,,,No,4.6,25.17
ORD00094,CUST6832,Sanders Group,Pune,Italian,Fly,31-03-2025,03:16:33,Delivered,67,Cash,734.33,No,2.2,DP566,4.8,,Yes,4.5,77.09
ORD00095,CUST8004,Osborne-Brooks,Bangalore,Biryani,Discussion,20-05-2024,13:47:55,Delivered,77,UPI,967.81,Yes,,DP921,,,No,4.2,10.38
ORD00096,CUST9109,Aguirre-Scott,Pune,South Indian,Position,15-10-2024,13:13:26,Delivered,47,UPI,419.08,Yes,,DP968,,,Yes,3.4,41.58
ORD00097,CUST4122,"Hernandez, Powell and Jones",Chennai,Thai,Your,28-04-2024,11:23:07,Delivered,43,Wallet,289.31,No,4.3,DP918,2.3,,No,3.8,5.76
ORD00098,CUST1428,"Dixon, Castro and Bennett",Mumbai,Chinese,Those,23-06-2024,03:30:38,Delivered,62,Cash,778.03,No,,DP829,,,No,3.1,33.73
ORD00099,CUST2859,Mejia-Ryan,Bangalore,Thai,Exactly,05-02-2025,17:42:34,Delivered,30,UPI,305.19,Yes,2.8,DP165,,,No,4.5,15.57
ORD00100,CUST4693,"Marks, Pope and Barnes",Hyderabad,Continental,Book,04-11-2024,08:15:38,Delivered,25,UPI,685.88,No,,DP268,,,No,4.6,26.81
ORD00101,CUST7975,Molina-Sanchez,Delhi,North Indian,Eight,17-01-2025,12:09:47,Cancelled,,UPI,824.07,No,,DP559,,Restaurant Unavailable,No,4.3,0
ORD00102,CUST4322,Morgan Inc,Pune,Thai,Base,24-01-2025,04:58:59,Delivered,30,Card,378.89,No,,DP359,,,No,4.4,58.35
ORD00103,CUST6855,Hanna-Smith,Hyderabad,Chinese,Method,02-02-2025,17:12:27,Delivered,90,Cash,194.72,Yes,,DP219,4.4,,No,3.8,96.82
ORD00104,CUST3260,Zavala-Nguyen,Delhi,Biryani,Final,21-01-2025,21:54:53,Incomplete,,Cash,484.86,No,,DP825,,Other,No,4.2,0
ORD00105,CUST6578,Lawson Ltd,Bangalore,South Indian,Cost,13-04-2025,07:18:16,Cancelled,,Cash,798.35,No,,DP737,,Customer Cancelled,No,3.1,0
ORD00106,CUST5768,Davis LLC,Pune,Italian,Up,20-07-2024,20:07:27,Delivered,68,UPI,403.92,No,2.1,DP177,,,No,4.4,76.74
ORD00107,CUST9371,"Thompson, Davis and Williams",Chennai,Biryani,Dog,10-03-2025,05:35:45,Delivered,73,Cash,576.48,Yes,3.9,DP547,,,No,4.4,93.08
ORD00108,CUST6905,"Gonzales, Johnson and Pope",Mumbai,Italian,Candidate,31-05-2024,17:44:46,Delivered,90,UPI,548.16,Yes,,DP321,,,Yes,4,8.42
ORD00109,CUST7321,Garcia-Gonzalez,Hyderabad,South Indian,Fish,16-05-2024,03:38:38,Cancelled,,Cash,843.14,Yes,,DP757,,Customer Cancelled,Yes,3.2,0
ORD00110,CUST1183,Williamson-Whitaker,Kolkata,North Indian,Network,18-07-2024,16:30:59,Delivered,76,Wallet,987.08,No,,DP254,,,No,3.7,16.65
ORD00111,CUST5860,Miller-Hughes,Delhi,South Indian,Establish,24-06-2024,16:05:11,Delivered,42,Cash,659.66,Yes,4.6,DP659,2.5,,Yes,4.9,72.49
ORD00112,CUST4529,Young Group,Hyderabad,Thai,Tree,14-02-2025,00:58:40,Delivered,52,Cash,151.03,Yes,,DP589,2.2,,Yes,3.2,48.76
ORD00113,CUST4543,Powell PLC,Bangalore,North Indian,School,18-10-2024,00:43:31,Delivered,66,Cash,136.58,No,3.6,DP260,2,,No,3.7,37.63
ORD00114,CUST1512,Williams-Owen,Pune,South Indian,Such,29-03-2025,01:19:43,Delivered,72,Wallet,295.09,No,5,DP903,1.4,,Yes,3.2,26.55
ORD00115,CUST8368,"Wallace, Perez and Perkins",Kolkata,South Indian,Even,29-09-2024,04:57:00,Delivered,24,UPI,927.92,No,,DP997,,,No,4.6,58.87
ORD00116,CUST4976,Wagner PLC,Mumbai,North Indian,Large,11-11-2024,23:17:36,Delivered,28,Cash,538.96,Yes,,DP340,,,No,3.1,95.05
ORD00117,CUST4865,Bradley-Lang,Pune,Thai,Firm,01-12-2024,01:35:29,Delivered,58,Card,655.92,No,2.6,DP138,,,Yes,4.3,20.17
ORD00118,CUST9727,"Taylor, Wilson and Jones",Chennai,Mexican,Whatever,21-09-2024,22:29:57,Delivered,76,UPI,692.48,Yes,,DP744,3.4,,Yes,4.2,28.35
ORD00119,CUST3272,Evans-Obrien,Chennai,Mexican,Black,14-04-2025,14:26:45,Delivered,76,UPI,724.59,No,4.4,DP202,,,No,3.5,3.34
ORD00120,CUST8775,"Armstrong, Carlson and Lloyd",Hyderabad,Continental,Body,05-10-2024,15:32:31,Delivered,23,Cash,532.03,Yes,3.7,DP924,3.2,,No,4.2,24.54
ORD00121,CUST1073,"Wells, Williams and Roberts",Mumbai,South Indian,Later,19-06-2024,07:03:16,Delivered,67,Card,259.53,No,4.2,DP975,1.7,,No,4.6,96.39
ORD00122,CUST4668,Smith-Silva,Chennai,North Indian,Fast,08-10-2024,19:17:46,Delivered,81,Cash,284.07,No,,DP475,2.1,,No,4.8,35.43
ORD00123,CUST3213,"Huang, Oconnor and Nelson",Delhi,Continental,Drive,20-04-2024,03:36:36,Delivered,39,Cash,265.91,Yes,4.9,DP829,,,No,3.7,1.91
ORD00124,CUST5509,"Garza, Cohen and Williams",Pune,Biryani,Student,15-12-2024,08:37:18,Delivered,54,UPI,743.63,No,,DP853,,,No,3.8,84.22
ORD00125,CUST6134,"Casey, Dean and Carlson",Pune,Mexican,Officer,22-12-2024,02:57:27,Delivered,72,Cash,758.96,No,,DP981,,,Yes,3.7,32.39
ORD00126,CUST4462,Williams-Johnson,Pune,North Indian,Station,02-10-2024,04:58:00,Delivered,66,Wallet,840.49,No,4.1,DP292,1.8,,Yes,4.8,91.9
ORD00127,CUST9914,Keith-Camacho,Mumbai,North Indian,Listen,01-12-2024,12:52:16,Delivered,70,Cash,368.38,No,2.4,DP214,2.3,,No,3.5,92.99
ORD00128,CUST7437,"Weeks, Lester and Tucker",Bangalore,Mexican,Worker,19-06-2024,16:09:03,Cancelled,,Card,360.55,Yes,,DP720,,Customer Cancelled,No,4.3,0
ORD00129,CUST3888,"Lee, Kelley and Garcia",Pune,North Indian,Life,17-05-2024,11:27:23,Incomplete,,Wallet,690.08,Yes,,DP972,,Delivery Partner No Show,No,3.8,0
ORD00130,CUST5231,"Herring, Smith and Jones",Chennai,North Indian,Professor,20-04-2024,18:35:59,Cancelled,,UPI,110.3,Yes,,DP979,,Other,Yes,4.2,0
ORD00131,CUST1804,Wright-Newman,Hyderabad,South Indian,Power,11-10-2024,15:22:59,Delivered,26,Card,528.41,Yes,,DP973,2.1,,Yes,4.3,75.15
ORD00132,CUST9819,King Inc,Kolkata,Mexican,Current,18-11-2024,18:11:39,Cancelled,,Cash,293.14,Yes,,DP404,,,No,4.6,0
ORD00133,CUST8708,Smith-Powell,Mumbai,Italian,Social,12-03-2025,13:34:58,Delivered,90,UPI,769.84,Yes,1.9,DP605,2,,Yes,4.2,76.42
ORD00134,CUST2951,Hendricks LLC,Kolkata,Mexican,Right,20-09-2024,13:17:31,Delivered,66,Card,462.91,Yes,,DP678,,,No,3.4,19.27
ORD00135,CUST8614,Craig-Cruz,Kolkata,Italian,Design,21-02-2025,20:19:42,Delivered,46,Wallet,235.3,No,,DP857,3.3,,Yes,3.4,34.45
ORD00136,CUST6191,"Hancock, Evans and Lucas",Bangalore,Thai,Clear,18-09-2024,03:06:51,Delivered,51,Cash,932.81,Yes,1.2,DP357,3.9,,No,5,47.48
ORD00137,CUST4538,"Parsons, King and Harris",Pune,North Indian,Congress,02-11-2024,17:42:29,Delivered,36,UPI,293.75,Yes,,DP261,2,,Yes,3.6,61.4
ORD00138,CUST3406,"Smith, Parrish and Lowe",Bangalore,Mexican,Turn,25-10-2024,02:29:48,Delivered,84,Card,869.15,Yes,1.8,DP997,,,No,4.3,88.92
ORD00139,CUST8126,"Harmon, Monroe and Lee",Kolkata,North Indian,Resource,12-12-2024,15:29:23,Delivered,34,UPI,395.66,No,4.1,DP575,4.3,,No,3.3,98.83
ORD00140,CUST7220,Cervantes-Harper,Chennai,Mexican,Whole,28-06-2024,13:41:57,Delivered,33,Wallet,157.36,No,3.3,DP795,,,No,4.9,15.21
ORD00141,CUST9391,"Ross, Fry and Oconnor",Kolkata,Continental,Various,25-05-2024,17:30:39,Delivered,54,Card,550.87,No,4,DP740,,,No,3.4,15.77
ORD00142,CUST1804,Chen-Bell,Chennai,Biryani,Trip,24-07-2024,07:20:45,Delivered,42,Card,680.32,Yes,,DP119,3.2,,No,3.7,23.81
ORD00143,CUST8159,"Caldwell, Ortiz and Walls",Chennai,Thai,American,04-05-2024,00:18:59,Delivered,85,Card,275.02,No,2.5,DP875,,,No,5,82.65
ORD00144,CUST6555,Stuart Ltd,Mumbai,Thai,Notice,30-09-2024,07:06:19,Delivered,57,Cash,725.36,Yes,,DP431,1.2,,No,3.3,96.11
ORD00145,CUST9137,"Daniels, Hall and Jones",Mumbai,Continental,Wrong,03-10-2024,07:59:17,Cancelled,,Wallet,546.73,Yes,,DP606,,Restaurant Unavailable,Yes,3.7,0
ORD00146,CUST6651,Wallace Inc,Chennai,North Indian,Study,18-10-2024,20:59:15,Delivered,85,UPI,260.8,Yes,2.3,DP151,,,Yes,4,46.28
ORD00147,CUST4349,Nelson-Jefferson,Chennai,Thai,Value,04-08-2024,01:26:49,Delivered,30,Wallet,975.41,No,,DP511,,,No,3.2,56.02
ORD00148,CUST1984,Price and Sons,Delhi,Mexican,Later,09-07-2024,04:12:51,Delivered,31,Wallet,712,No,4.4,DP802,2.1,,Yes,3,86.68
ORD00149,CUST7168,Johnson-Oneal,Mumbai,Biryani,Product,30-01-2025,01:00:03,Delivered,79,UPI,149.55,No,2.8,DP583,,,No,4.7,28.16
ORD00150,CUST3896,"Cook, Garcia and Ross",Chennai,Biryani,Group,05-02-2025,06:30:22,Delivered,53,Wallet,410.06,No,,DP819,2.5,,Yes,4.2,50.65
ORD00151,CUST8235,"Adams, Delacruz and Hughes",Mumbai,North Indian,Then,01-12-2024,07:01:05,Delivered,32,UPI,426.55,Yes,3.5,DP427,3.8,,Yes,4.3,0.69
ORD00152,CUST9047,"Hudson, Johnson and Todd",Mumbai,Biryani,Although,30-12-2024,03:09:38,Delivered,49,Cash,871.01,No,3.2,DP413,1.4,,Yes,4.1,29.16
ORD00153,CUST9789,Brown-Fowler,Delhi,Chinese,We,04-01-2025,20:49:42,Delivered,43,Cash,809.84,Yes,,DP446,1.2,,Yes,4.5,30.72
ORD00154,CUST9590,Cooper-Carr,Delhi,Continental,Player,02-02-2025,01:12:04,Delivered,29,Card,745.31,No,,DP696,,,Yes,4.5,19.02
ORD00155,CUST6905,Blanchard PLC,Pune,Italian,Situation,07-09-2024,09:50:12,Delivered,36,Cash,422.44,No,,DP469,,,Yes,4.2,79.21
